trip_id,customer_id,vehicle_id,driver_id,origin,destination,dispatch_date,expected_delivery_date,actual_delivery_date,trip_status,is_on_time,is_delayed,delay_days
TRP00001,CUS014,VEH014,DRV002,Ahmedabad,Indore,2025-02-27,2025-02-28,,Cancelled,0,0,
TRP00002,CUS049,VEH012,DRV010,Ahmedabad,Surat,2025-09-20,2025-09-21,2025-09-21,Delivered,1,0,0
TRP00003,CUS044,VEH011,DRV022,Indore,Surat,2025-03-06,2025-03-07,,Cancelled,0,0,
TRP00004,CUS030,VEH014,DRV005,Pune,Nashik,2026-01-07,2026-01-08,2026-01-08,Delivered,1,0,0
TRP00005,CUS006,VEH014,DRV009,Indore,Hyderabad,2026-01-31,2026-02-02,,Cancelled,0,0,
TRP00006,CUS013,VEH001,DRV008,Nashik,Mumbai,2025-06-04,2025-06-05,2025-06-04,Delivered,1,0,-1
TRP00007,CUS039,VEH012,DRV006,Bengaluru,Mumbai,2025-03-05,2025-03-07,2025-03-07,Delivered,1,0,0
TRP00008,CUS045,VEH003,DRV019,Pune,Hyderabad,2026-08-01,2026-08-02,,In Transit,0,0,
TRP00009,CUS035,VEH002,DRV012,Jaipur,Ahmedabad,2025-02-19,2025-02-21,2025-02-25,Delayed,0,1,4
TRP00010,CUS010,VEH015,DRV023,Ahmedabad,Jaipur,2026-06-17,2026-06-19,2026-06-25,Delayed,0,1,6
TRP00011,CUS006,VEH008,DRV027,Indore,Pune,2026-03-02,2026-03-04,2026-03-04,Delivered,1,0,0
TRP00012,CUS017,VEH007,DRV012,Nagpur,Hyderabad,2026-07-31,2026-08-02,,In Transit,0,0,
TRP00013,CUS036,VEH014,DRV016,Hyderabad,Pune,2025-02-24,2025-02-26,2025-02-25,Delivered,1,0,-1
TRP00014,CUS031,VEH019,DRV012,Hyderabad,Aurangabad,2026-01-11,2026-01-12,2026-01-16,Delayed,0,1,4
TRP00015,CUS013,VEH004,DRV024,Nashik,Surat,2025-08-15,2025-08-16,2025-08-22,Delayed,0,1,6
TRP00016,CUS019,VEH017,DRV020,Aurangabad,Mumbai,2025-12-13,2025-12-14,2025-12-13,Delivered,1,0,-1
TRP00017,CUS045,VEH018,DRV010,Hyderabad,Mumbai,2025-02-19,2025-02-21,2025-02-21,Delivered,1,0,0
TRP00018,CUS031,VEH002,DRV009,Bengaluru,Mumbai,2025-04-02,2025-04-05,2025-04-05,Delivered,1,0,0
TRP00019,CUS027,VEH018,DRV025,Bengaluru,Pune,2026-07-27,2026-07-29,,In Transit,0,0,
TRP00020,CUS040,VEH020,DRV002,Aurangabad,Mumbai,2025-05-01,2025-05-02,2025-05-01,Delivered,1,0,-1
TRP00021,CUS045,VEH014,DRV015,Indore,Hyderabad,2026-05-17,2026-05-19,2026-05-21,Delayed,0,1,2
TRP00022,CUS013,VEH019,DRV022,Ahmedabad,Jaipur,2025-11-06,2025-11-08,2025-11-07,Delivered,1,0,-1
TRP00023,CUS037,VEH020,DRV024,Nashik,Aurangabad,2026-03-26,2026-03-27,2026-03-27,Delivered,1,0,0
TRP00024,CUS021,VEH014,DRV024,Pune,Nagpur,2025-02-28,2025-03-02,2025-03-08,Delayed,0,1,6
TRP00025,CUS034,VEH006,DRV016,Delhi,Ahmedabad,2026-06-25,2026-06-27,2026-06-27,Delivered,1,0,0
TRP00026,CUS011,VEH004,DRV028,Nagpur,Hyderabad,2026-03-24,2026-03-25,2026-03-30,Delayed,0,1,5
TRP00027,CUS008,VEH009,DRV011,Indore,Surat,2026-05-26,2026-05-27,2026-05-26,Delivered,1,0,-1
TRP00028,CUS029,VEH016,DRV021,Mumbai,Ahmedabad,2026-05-01,2026-05-02,,Cancelled,0,0,
TRP00029,CUS011,VEH008,DRV023,Indore,Nashik,2025-06-03,2025-06-04,2025-06-03,Delivered,1,0,-1
TRP00030,CUS046,VEH010,DRV017,Pune,Indore,2026-05-20,2026-05-22,2026-05-22,Delivered,1,0,0
TRP00031,CUS005,VEH005,DRV028,Indore,Pune,2026-07-11,2026-07-13,2026-07-12,Delivered,1,0,-1
TRP00032,CUS043,VEH019,DRV019,Hyderabad,Bengaluru,2026-01-13,2026-01-15,2026-01-15,Delivered,1,0,0
TRP00033,CUS016,VEH007,DRV023,Aurangabad,Indore,2025-12-29,2025-12-30,2025-12-30,Delivered,1,0,0
TRP00034,CUS003,VEH005,DRV016,Hyderabad,Mumbai,2026-07-30,2026-08-01,,In Transit,0,0,
TRP00035,CUS042,VEH005,DRV014,Mumbai,Delhi,2026-03-21,2026-03-25,2026-03-25,Delivered,1,0,0
TRP00036,CUS041,VEH013,DRV011,Hyderabad,Bengaluru,2025-11-28,2025-11-29,2025-11-28,Delivered,1,0,-1
TRP00037,CUS011,VEH004,DRV015,Indore,Nashik,2026-07-27,2026-07-28,,In Transit,0,0,
TRP00038,CUS044,VEH014,DRV019,Pune,Nashik,2026-08-01,2026-08-02,,In Transit,0,0,
TRP00039,CUS041,VEH008,DRV015,Pune,Nagpur,2026-07-30,2026-08-01,,In Transit,0,0,
TRP00040,CUS038,VEH015,DRV012,Indore,Nashik,2025-12-13,2025-12-14,2025-12-14,Delivered,1,0,0
TRP00041,CUS023,VEH013,DRV019,Aurangabad,Indore,2026-03-19,2026-03-20,2026-03-19,Delivered,1,0,-1
TRP00042,CUS015,VEH010,DRV025,Nagpur,Indore,2025-06-27,2025-06-28,2025-06-27,Delivered,1,0,-1
TRP00043,CUS047,VEH019,DRV012,Mumbai,Hyderabad,2025-08-05,2025-08-07,2025-08-12,Delayed,0,1,5
TRP00044,CUS018,VEH017,DRV030,Mumbai,Jaipur,2025-12-06,2025-12-09,2025-12-09,Delivered,1,0,0
TRP00045,CUS049,VEH003,DRV005,Bengaluru,Pune,2026-02-16,2026-02-19,,Cancelled,0,0,
TRP00046,CUS048,VEH012,DRV022,Nagpur,Pune,2025-05-28,2025-05-30,,Cancelled,0,0,
TRP00047,CUS040,VEH011,DRV030,Bengaluru,Pune,2025-12-13,2025-12-15,2025-12-14,Delivered,1,0,-1
TRP00048,CUS008,VEH010,DRV016,Mumbai,Aurangabad,2026-02-21,2026-02-22,2026-02-22,Delivered,1,0,0
TRP00049,CUS007,VEH014,DRV021,Hyderabad,Bengaluru,2026-02-21,2026-02-23,2026-02-23,Delivered,1,0,0
TRP00050,CUS024,VEH004,DRV022,Jaipur,Delhi,2025-11-16,2025-11-17,2025-11-16,Delivered,1,0,-1
TRP00051,CUS014,VEH003,DRV022,Mumbai,Nashik,2025-09-05,2025-09-06,,Cancelled,0,0,
TRP00052,CUS050,VEH008,DRV011,Delhi,Mumbai,2025-07-05,2025-07-08,2025-07-08,Delivered,1,0,0
TRP00053,CUS001,VEH001,DRV005,Indore,Nagpur,2025-08-04,2025-08-05,2025-08-04,Delivered,1,0,-1
TRP00054,CUS029,VEH003,DRV016,Aurangabad,Nagpur,2025-03-23,2025-03-24,2025-03-24,Delivered,1,0,0
TRP00055,CUS026,VEH002,DRV016,Jaipur,Ahmedabad,2026-07-24,2026-07-26,,In Transit,0,0,
TRP00056,CUS040,VEH005,DRV009,Ahmedabad,Nashik,2025-12-05,2025-12-06,,Cancelled,0,0,
TRP00057,CUS014,VEH018,DRV024,Ahmedabad,Jaipur,2026-05-17,2026-05-19,2026-05-18,Delivered,1,0,-1
TRP00058,CUS010,VEH009,DRV012,Indore,Hyderabad,2025-05-16,2025-05-18,2025-05-18,Delivered,1,0,0
TRP00059,CUS036,VEH019,DRV018,Hyderabad,Nagpur,2026-07-29,2026-07-30,,In Transit,0,0,
TRP00060,CUS023,VEH020,DRV010,Aurangabad,Mumbai,2025-09-24,2025-09-25,2025-09-28,Delayed,0,1,3
TRP00061,CUS015,VEH009,DRV019,Jaipur,Ahmedabad,2026-08-01,2026-08-03,,In Transit,0,0,
TRP00062,CUS012,VEH009,DRV001,Indore,Pune,2025-02-13,2025-02-15,2025-02-14,Delivered,1,0,-1
TRP00063,CUS041,VEH005,DRV024,Mumbai,Nashik,2026-05-17,2026-05-18,2026-05-18,Delivered,1,0,0
TRP00064,CUS006,VEH019,DRV020,Mumbai,Ahmedabad,2025-05-01,2025-05-03,2025-05-03,Delivered,1,0,0
TRP00065,CUS049,VEH009,DRV007,Bengaluru,Chennai,2026-06-20,2026-06-21,2026-06-21,Delivered,1,0,0
TRP00066,CUS001,VEH020,DRV002,Pune,Surat,2025-10-26,2025-10-27,2025-10-26,Delivered,1,0,-1
TRP00067,CUS025,VEH006,DRV005,Jaipur,Delhi,2026-07-28,2026-07-29,,In Transit,0,0,
TRP00068,CUS005,VEH001,DRV015,Surat,Nashik,2026-04-10,2026-04-11,2026-04-15,Delayed,0,1,4
TRP00069,CUS045,VEH020,DRV015,Nagpur,Aurangabad,2026-03-24,2026-03-25,2026-03-25,Delivered,1,0,0
TRP00070,CUS050,VEH008,DRV011,Mumbai,Jaipur,2025-08-24,2025-08-27,2025-08-27,Delivered,1,0,0
TRP00071,CUS007,VEH005,DRV008,Mumbai,Delhi,2025-04-25,2025-04-29,2025-04-29,Delivered,1,0,0
TRP00072,CUS044,VEH019,DRV015,Indore,Aurangabad,2025-12-27,2025-12-28,2025-12-27,Delivered,1,0,-1
TRP00073,CUS004,VEH009,DRV019,Indore,Nagpur,2025-04-06,2025-04-07,2025-04-07,Delivered,1,0,0
TRP00074,CUS039,VEH003,DRV020,Bengaluru,Chennai,2025-03-21,2025-03-22,,Cancelled,0,0,
TRP00075,CUS010,VEH016,DRV017,Mumbai,Ahmedabad,2026-07-24,2026-07-25,,In Transit,0,0,
