trip_id,invoice_available,eway_bill_available,pod_available,lr_copy_available,document_status
TRP00001,0,0,0,0,Missing
TRP00002,1,1,1,1,Complete
TRP00003,0,0,0,0,Missing
TRP00004,1,1,1,1,Complete
TRP00005,0,0,0,0,Missing
TRP00006,1,1,1,1,Complete
TRP00007,1,1,1,1,Complete
TRP00008,1,1,0,1,Incomplete
TRP00009,0,1,1,1,Incomplete
TRP00010,1,1,1,1,Complete
TRP00011,1,1,1,1,Complete
TRP00012,1,0,0,0,Incomplete
TRP00013,1,1,1,1,Complete
TRP00014,1,1,1,1,Complete
TRP00015,1,0,1,1,Incomplete
TRP00016,1,1,1,1,Complete
TRP00017,0,1,0,1,Incomplete
TRP00018,1,1,1,1,Complete
TRP00019,1,1,0,1,Incomplete
TRP00020,1,0,1,1,Incomplete
TRP00021,1,1,1,1,Complete
TRP00022,1,1,1,1,Complete
TRP00023,1,1,1,1,Complete
TRP00024,1,1,1,1,Complete
TRP00025,1,1,1,1,Complete
TRP00026,1,1,1,1,Complete
TRP00027,1,1,1,0,Incomplete
TRP00028,0,0,0,0,Missing
TRP00029,1,1,1,1,Complete
TRP00030,1,1,1,1,Complete
TRP00031,1,1,1,1,Complete
TRP00032,0,1,1,1,Incomplete
TRP00033,1,1,1,0,Incomplete
TRP00034,1,1,0,1,Incomplete
TRP00035,1,1,1,0,Incomplete
TRP00036,1,1,1,1,Complete
TRP00037,1,1,0,1,Incomplete
TRP00038,1,1,0,1,Incomplete
TRP00039,1,1,0,1,Incomplete
TRP00040,1,1,1,1,Complete
TRP00041,1,1,1,1,Complete
TRP00042,1,1,1,1,Complete
TRP00043,1,0,1,1,Incomplete
TRP00044,1,1,1,1,Complete
TRP00045,0,0,0,0,Missing
TRP00046,0,0,0,0,Missing
TRP00047,1,1,1,1,Complete
TRP00048,1,1,1,1,Complete
TRP00049,1,1,1,1,Complete
TRP00050,1,1,1,1,Complete
TRP00051,0,0,0,0,Missing
TRP00052,1,1,1,1,Complete
TRP00053,1,1,1,1,Complete
TRP00054,1,1,1,1,Complete
TRP00055,1,1,0,1,Incomplete
TRP00056,0,0,0,0,Missing
TRP00057,1,1,1,1,Complete
TRP00058,1,1,1,1,Complete
TRP00059,0,1,0,1,Incomplete
TRP00060,0,1,1,1,Incomplete
TRP00061,1,0,0,1,Incomplete
TRP00062,1,1,1,0,Incomplete
TRP00063,1,1,1,1,Complete
TRP00064,1,1,1,1,Complete
TRP00065,1,1,1,1,Complete
TRP00066,1,0,1,1,Incomplete
TRP00067,1,1,0,0,Incomplete
TRP00068,1,1,1,1,Complete
TRP00069,1,1,1,0,Incomplete
TRP00070,1,1,1,1,Complete
TRP00071,1,1,1,1,Complete
TRP00072,1,1,1,1,Complete
TRP00073,1,1,1,1,Complete
TRP00074,0,0,0,0,Missing
TRP00075,1,1,0,1,Incomplete
TRP00076,0,0,0,0,Missing
TRP00077,1,1,0,1,Incomplete
TRP00078,1,1,0,1,Incomplete
TRP00079,1,1,1,1,Complete
TRP00080,1,0,1,1,Incomplete
TRP00081,1,1,1,1,Complete
TRP00082,1,1,0,1,Incomplete
TRP00083,1,1,1,1,Complete
TRP00084,0,1,1,1,Incomplete
TRP00085,1,0,1,1,Incomplete
TRP00086,1,1,1,1,Complete
TRP00087,1,1,1,1,Complete
TRP00088,1,1,0,1,Incomplete
TRP00089,1,1,1,1,Complete
TRP00090,1,1,1,1,Complete
TRP00091,1,1,1,1,Complete
TRP00092,1,1,1,0,Incomplete
TRP00093,1,1,1,1,Complete
TRP00094,1,1,1,1,Complete
TRP00095,1,1,1,1,Complete
TRP00096,1,1,1,1,Complete
TRP00097,1,1,0,1,Incomplete
TRP00098,1,1,1,1,Complete
TRP00099,1,1,1,1,Complete
TRP00100,1,0,1,0,Incomplete
TRP00101,1,0,1,1,Incomplete
TRP00102,1,1,0,1,Incomplete
TRP00103,1,1,1,0,Incomplete
TRP00104,1,1,1,1,Complete
TRP00105,1,1,1,1,Complete
TRP00106,1,1,1,1,Complete
TRP00107,1,1,1,1,Complete
TRP00108,1,1,1,1,Complete
TRP00109,1,1,1,1,Complete
TRP00110,1,1,1,1,Complete
TRP00111,1,1,1,1,Complete
TRP00112,1,1,1,1,Complete
TRP00113,1,0,1,0,Incomplete
TRP00114,1,0,1,1,Incomplete
TRP00115,1,0,1,1,Incomplete
TRP00116,0,1,1,1,Incomplete
TRP00117,1,0,0,1,Incomplete
TRP00118,0,1,0,1,Incomplete
TRP00119,1,0,1,1,Incomplete
TRP00120,0,0,1,1,Incomplete
TRP00121,1,1,1,1,Complete
TRP00122,1,0,1,1,Incomplete
TRP00123,1,0,1,1,Incomplete
TRP00124,1,1,1,1,Complete
TRP00125,1,1,1,1,Complete
TRP00126,1,1,1,1,Complete
TRP00127,1,1,0,1,Incomplete
TRP00128,1,1,1,1,Complete
TRP00129,1,1,1,1,Complete
TRP00130,1,1,1,0,Incomplete
TRP00131,1,1,1,1,Complete
TRP00132,1,1,0,1,Incomplete
TRP00133,1,1,0,1,Incomplete
TRP00134,1,1,1,1,Complete
TRP00135,1,1,1,1,Complete
TRP00136,1,1,0,1,Incomplete
TRP00137,0,0,0,0,Missing
TRP00138,1,1,1,1,Complete
TRP00139,0,1,0,1,Incomplete
TRP00140,1,1,1,1,Complete
TRP00141,0,1,1,1,Incomplete
TRP00142,0,1,1,1,Incomplete
TRP00143,1,1,1,1,Complete
TRP00144,1,1,1,1,Complete
TRP00145,1,1,1,0,Incomplete
TRP00146,1,1,1,1,Complete
TRP00147,0,0,1,1,Incomplete
TRP00148,1,1,1,0,Incomplete
TRP00149,1,1,0,1,Incomplete
TRP00150,1,1,0,1,Incomplete
TRP00151,1,1,0,1,Incomplete
TRP00152,1,1,1,1,Complete
TRP00153,1,1,1,1,Complete
TRP00154,1,1,1,1,Complete
TRP00155,1,1,1,0,Incomplete
TRP00156,1,1,0,1,Incomplete
TRP00157,1,1,0,1,Incomplete
TRP00158,1,1,0,1,Incomplete
TRP00159,1,1,1,1,Complete
TRP00160,1,1,1,1,Complete
TRP00161,1,1,1,1,Complete
TRP00162,1,1,1,1,Complete
TRP00163,1,1,0,1,Incomplete
TRP00164,0,0,0,0,Missing
TRP00165,1,1,0,1,Incomplete
TRP00166,0,0,0,0,Missing
TRP00167,1,0,1,1,Incomplete
TRP00168,1,1,1,1,Complete
TRP00169,1,1,1,1,Complete
TRP00170,1,1,1,1,Complete
TRP00171,1,1,0,1,Incomplete
TRP00172,1,1,0,1,Incomplete
TRP00173,1,1,1,1,Complete
TRP00174,1,1,0,1,Incomplete
TRP00175,1,1,1,1,Complete
TRP00176,1,1,0,1,Incomplete
