payment_id,trip_id,customer_id,customer_name,invoice_date,invoice_amount,due_date,payment_date,payment_status,days_overdue
PAY00001,TRP00001,CUS014,Shree Traders,,0.0,,,Not Applicable,
PAY00002,TRP00002,CUS049,Krishna Pharma Ltd,2025-09-21,12350.0,2025-11-05,,Overdue,281
PAY00003,TRP00003,CUS044,Malabar Merchandise,,0.0,,,Not Applicable,
PAY00004,TRP00004,CUS030,Metro Pharma Ltd,2026-01-09,15266.0,2026-02-08,,Overdue,186
PAY00005,TRP00005,CUS006,Vishal Traders,,0.0,,,Not Applicable,
PAY00006,TRP00006,CUS013,Krishna Corporation,2025-06-05,5721.0,2025-07-20,2025-06-23,Paid,
PAY00007,TRP00007,CUS039,Krishna Traders,2025-03-10,47443.0,2025-04-24,2025-03-15,Paid,
PAY00008,TRP00008,CUS045,Deccan Motors,2026-08-01,35865.0,2026-08-31,,Pending,
PAY00009,TRP00009,CUS035,Krishna Manufacturing Co,2025-02-27,30623.0,2025-04-13,2025-04-01,Paid,
PAY00010,TRP00010,CUS010,Metro Agro Foods,2026-06-25,51097.0,2026-08-09,2026-07-30,Paid,
PAY00011,TRP00011,CUS006,Vishal Traders,2026-03-06,34994.0,2026-04-05,2026-03-30,Paid,
PAY00012,TRP00012,CUS017,Krishna Logistics Pvt Ltd,2026-08-01,24856.0,2026-08-31,,Pending,
PAY00013,TRP00013,CUS036,United Industries,2025-02-26,38373.0,2025-04-27,,Overdue,473
PAY00014,TRP00014,CUS031,Sai Pharma Ltd,2026-01-19,32595.0,2026-02-18,2026-02-14,Paid,
PAY00015,TRP00015,CUS013,Krishna Corporation,2025-08-23,19203.0,2025-10-07,2025-08-28,Paid,
PAY00016,TRP00016,CUS019,Jai Impex,2025-12-13,16559.0,2026-01-12,2025-12-21,Paid,
PAY00017,TRP00017,CUS045,Deccan Motors,2025-02-22,40721.0,2025-03-24,2025-03-08,Paid,
PAY00018,TRP00018,CUS031,Sai Pharma Ltd,2025-04-05,42197.0,2025-05-05,2025-05-10,Paid,
PAY00019,TRP00019,CUS027,National Exports,2026-07-30,50690.0,2026-08-29,,Pending,
PAY00020,TRP00020,CUS040,National Impex,2025-05-04,24552.0,2025-05-19,2025-05-19,Paid,
PAY00021,TRP00021,CUS045,Deccan Motors,2026-05-21,54809.0,2026-06-20,2026-05-26,Paid,
PAY00022,TRP00022,CUS013,Krishna Corporation,2025-11-07,44094.0,2025-12-22,,Overdue,234
PAY00023,TRP00023,CUS037,Konkan Corporation,2026-03-28,16455.0,2026-04-27,,Overdue,108
PAY00024,TRP00024,CUS021,National Merchandise,2025-03-10,52294.0,2025-04-09,2025-04-01,Paid,
PAY00025,TRP00025,CUS034,Vindhya Manufacturing Co,2026-06-29,32613.0,2026-07-14,2026-07-21,Paid,
PAY00026,TRP00026,CUS011,Sai Manufacturing Co,2026-04-02,29766.0,2026-05-02,2026-05-09,Paid,
PAY00027,TRP00027,CUS008,Sahyadri Merchandise,2026-05-27,29679.0,2026-07-11,,Overdue,33
PAY00028,TRP00028,CUS029,Vindhya Pharma Ltd,,0.0,,,Not Applicable,
PAY00029,TRP00029,CUS011,Sai Manufacturing Co,2025-06-05,23407.0,2025-07-05,2025-06-22,Paid,
PAY00030,TRP00030,CUS046,Ganges Textiles,2026-05-23,45703.0,2026-06-22,2026-06-11,Paid,
PAY00031,TRP00031,CUS005,Om Industries,2026-07-12,45330.0,2026-08-11,2026-07-22,Paid,
PAY00032,TRP00032,CUS043,Deccan Distributors,2026-01-18,38860.0,2026-02-17,,Overdue,177
PAY00033,TRP00033,CUS016,Sahyadri Enterprises,2025-12-31,23091.0,2026-02-14,,Overdue,180
PAY00034,TRP00034,CUS003,Vishal Retail Chain,2026-08-01,57014.0,2026-09-30,,Pending,
PAY00035,TRP00035,CUS042,National Motors,2026-03-26,128055.0,2026-04-25,,Overdue,110
PAY00036,TRP00036,CUS041,Sahyadri Retail Chain,2025-11-29,30407.0,2025-12-29,2025-12-07,Paid,
PAY00037,TRP00037,CUS011,Sai Manufacturing Co,2026-07-28,25252.0,2026-08-27,,Pending,
PAY00038,TRP00038,CUS044,Malabar Merchandise,2026-08-01,14696.0,2026-09-15,,Pending,
PAY00039,TRP00039,CUS041,Sahyadri Retail Chain,2026-08-01,41563.0,2026-08-31,,Pending,
PAY00040,TRP00040,CUS038,Ganges Distributors,2025-12-17,31077.0,2026-01-16,2025-12-29,Paid,
PAY00041,TRP00041,CUS023,Prime Pharma Ltd,2026-03-20,30868.0,2026-04-19,2026-03-23,Paid,
PAY00042,TRP00042,CUS015,Sunrise Impex,2025-06-29,32869.0,2025-07-29,,Overdue,380
PAY00043,TRP00043,CUS047,Vishal Motors,2025-08-13,51640.0,2025-08-28,2025-08-31,Paid,
PAY00044,TRP00044,CUS018,Shree Manufacturing Co,2025-12-10,60818.0,2026-01-09,2025-12-18,Paid,
PAY00045,TRP00045,CUS049,Krishna Pharma Ltd,,0.0,,,Not Applicable,
PAY00046,TRP00046,CUS048,Prime Agro Foods,,0.0,,,Not Applicable,
PAY00047,TRP00047,CUS040,National Impex,2025-12-14,30752.0,2025-12-29,2025-12-30,Paid,
PAY00048,TRP00048,CUS008,Sahyadri Merchandise,2026-02-23,28497.0,2026-04-09,,Overdue,126
PAY00049,TRP00049,CUS007,Sunrise Retail Chain,2026-02-25,47832.0,2026-03-12,2026-03-21,Paid,
PAY00050,TRP00050,CUS024,Western Logistics Pvt Ltd,2025-11-18,21991.0,2026-01-02,,Overdue,223
PAY00051,TRP00051,CUS014,Shree Traders,,0.0,,,Not Applicable,
PAY00052,TRP00052,CUS050,Jai Pharma Ltd,2025-07-10,83730.0,2025-08-09,2025-07-29,Paid,
PAY00053,TRP00053,CUS001,Malabar Retail Chain,2025-08-05,16494.0,2025-09-04,,Overdue,343
PAY00054,TRP00054,CUS029,Vindhya Pharma Ltd,2025-03-27,30333.0,2025-04-26,2025-04-04,Paid,
PAY00055,TRP00055,CUS026,Jai Manufacturing Co,2026-07-29,29316.0,2026-08-28,,Pending,
PAY00056,TRP00056,CUS040,National Impex,,0.0,,,Not Applicable,
PAY00057,TRP00057,CUS014,Shree Traders,2026-05-18,35110.0,2026-07-02,2026-06-23,Paid,
PAY00058,TRP00058,CUS010,Metro Agro Foods,2025-05-18,54053.0,2025-07-02,2025-06-13,Paid,
PAY00059,TRP00059,CUS036,United Industries,2026-07-31,39000.0,2026-09-29,,Pending,
PAY00060,TRP00060,CUS023,Prime Pharma Ltd,2025-10-01,26659.0,2025-10-31,2025-10-22,Paid,
PAY00061,TRP00061,CUS015,Sunrise Impex,2026-08-01,49766.0,2026-08-31,,Pending,
PAY00062,TRP00062,CUS012,Deccan Merchandise,2025-02-15,41026.0,2025-04-16,2025-03-16,Paid,
PAY00063,TRP00063,CUS041,Sahyadri Retail Chain,2026-05-20,12478.0,2026-06-19,2026-05-26,Paid,
PAY00064,TRP00064,CUS006,Vishal Traders,2025-05-06,37883.0,2025-06-05,,Overdue,434
PAY00065,TRP00065,CUS049,Krishna Pharma Ltd,2026-06-21,22065.0,2026-08-05,,Pending,
PAY00066,TRP00066,CUS001,Malabar Retail Chain,2025-10-29,31500.0,2025-11-28,2025-11-19,Paid,
PAY00067,TRP00067,CUS025,Shree Retail Chain,2026-07-29,10336.0,2026-08-28,,Pending,
PAY00068,TRP00068,CUS005,Om Industries,2026-04-17,8927.0,2026-05-17,2026-05-15,Paid,
PAY00069,TRP00069,CUS045,Deccan Motors,2026-03-27,44367.0,2026-04-26,2026-03-28,Paid,
PAY00070,TRP00070,CUS050,Jai Pharma Ltd,2025-08-29,72606.0,2025-09-28,2025-09-18,Paid,
PAY00071,TRP00071,CUS007,Sunrise Retail Chain,2025-05-02,109499.0,2025-05-17,,Overdue,453
PAY00072,TRP00072,CUS044,Malabar Merchandise,2025-12-27,34307.0,2026-02-10,2026-01-25,Paid,
PAY00073,TRP00073,CUS004,Om Enterprises,2025-04-10,29653.0,2025-05-25,,Overdue,445
PAY00074,TRP00074,CUS039,Krishna Traders,,0.0,,,Not Applicable,
PAY00075,TRP00075,CUS010,Metro Agro Foods,2026-07-27,18401.0,2026-09-10,,Pending,
PAY00076,TRP00076,CUS034,Vindhya Manufacturing Co,,0.0,,,Not Applicable,
