trip_id,dispatch_date,dispatch_month,vehicle_id,driver_id,customer_id,origin,destination,distance_km,trip_status,freight_revenue,total_expense,profit,profit_margin_pct,cost_per_km
TRP00001,2025-02-27,2025-02,VEH014,DRV002,CUS014,Ahmedabad,Indore,417.8,Cancelled,27.0,593.83,-566.83,-2099.37,1.42
TRP00002,2025-09-20,2025-09,VEH012,DRV010,CUS049,Ahmedabad,Surat,277.3,Delivered,12350.0,16876.86,-4526.86,-36.65,60.86
TRP00003,2025-03-06,2025-03,VEH011,DRV022,CUS044,Indore,Surat,414.9,Cancelled,196.0,399.74,-203.74,-103.95,0.96
TRP00004,2026-01-07,2026-01,VEH014,DRV005,CUS030,Pune,Nashik,210.1,Delivered,15266.0,10574.81,4691.19,30.73,50.33
TRP00005,2026-01-31,2026-01,VEH014,DRV009,CUS006,Indore,Hyderabad,709.2,Cancelled,300.0,413.35,-113.35,-37.78,0.58
TRP00006,2025-06-04,2025-06,VEH001,DRV008,CUS013,Nashik,Mumbai,163.2,Delivered,5721.0,15496.76,-9775.76,-170.88,94.96
TRP00007,2025-03-05,2025-03,VEH012,DRV006,CUS039,Bengaluru,Mumbai,968.4,Delivered,47443.0,32934.92,14508.08,30.58,34.01
TRP00008,2026-08-01,2026-08,VEH003,DRV019,CUS045,Pune,Hyderabad,577.8,In Transit,35865.0,21754.55,14110.45,39.34,37.65
TRP00009,2025-02-19,2025-02,VEH002,DRV012,CUS035,Jaipur,Ahmedabad,643.8,Delayed,30623.0,22564.73,8058.27,26.31,35.05
TRP00010,2026-06-17,2026-06,VEH015,DRV023,CUS010,Ahmedabad,Jaipur,667.7,Delayed,51097.0,30464.96,20632.04,40.38,45.63
TRP00011,2026-03-02,2026-03,VEH008,DRV027,CUS006,Indore,Pune,583.8,Delivered,34994.0,23798.489999999998,11195.51,31.99,40.76
TRP00012,2026-07-31,2026-07,VEH007,DRV012,CUS017,Nagpur,Hyderabad,508.8,In Transit,24856.0,33498.22,-8642.22,-34.77,65.84
TRP00013,2025-02-24,2025-02,VEH014,DRV016,CUS036,Hyderabad,Pune,572.1,Delivered,38373.0,30598.379999999997,7774.62,20.26,53.48
TRP00014,2026-01-11,2026-01,VEH019,DRV012,CUS031,Hyderabad,Aurangabad,502.0,Delayed,32595.0,20603.21,11991.79,36.79,41.04
TRP00015,2025-08-15,2025-08,VEH004,DRV024,CUS013,Nashik,Surat,273.5,Delayed,19203.0,17554.96,1648.04,8.58,64.19
TRP00016,2025-12-13,2025-12,VEH017,DRV020,CUS019,Aurangabad,Mumbai,332.9,Delivered,16559.0,15980.96,578.04,3.49,48.01
TRP00017,2025-02-19,2025-02,VEH018,DRV010,CUS045,Hyderabad,Mumbai,731.5,Delivered,40721.0,36071.9,4649.1,11.42,49.31
TRP00018,2025-04-02,2025-04,VEH002,DRV009,CUS031,Bengaluru,Mumbai,987.0,Delivered,42197.0,34119.04,8077.96,19.14,34.57
TRP00019,2026-07-27,2026-07,VEH018,DRV025,CUS027,Bengaluru,Pune,840.4,In Transit,50690.0,29975.7,20714.3,40.86,35.67
TRP00020,2025-05-01,2025-05,VEH020,DRV002,CUS040,Aurangabad,Mumbai,330.5,Delivered,24552.0,16555.19,7996.81,32.57,50.09
TRP00021,2026-05-17,2026-05,VEH014,DRV015,CUS045,Indore,Hyderabad,692.0,Delayed,54809.0,36296.9,18512.1,33.78,52.45
TRP00022,2025-11-06,2025-11,VEH019,DRV022,CUS013,Ahmedabad,Jaipur,652.1,Delivered,44094.0,28743.2,15350.8,34.81,44.08
TRP00023,2026-03-26,2026-03,VEH020,DRV024,CUS037,Nashik,Aurangabad,211.6,Delivered,16455.0,18023.34,-1568.34,-9.53,85.18
TRP00024,2025-02-28,2025-02,VEH014,DRV024,CUS021,Pune,Nagpur,691.8,Delayed,52294.0,39510.85,12783.15,24.44,57.11
TRP00025,2026-06-25,2026-06,VEH006,DRV016,CUS034,Delhi,Ahmedabad,935.3,Delivered,32613.0,31266.14,1346.86,4.13,33.43
