vehicle_id,vehicle_number,vehicle_type,ownership_type,status,trip_count,total_revenue,total_expense,total_profit,total_distance_km,cost_per_km
VEH001,MH48EX4657,10 Tyre,Owned,Active,27,540018.0,690807.14,-150789.14,14922.2,46.29
VEH002,KA06GT1488,12 Tyre,Owned,Active,22,559715.0,526216.15,33498.85,12000.2,43.85
VEH003,KA13GX8359,14 Tyre,Leased,Under Maintenance,23,633821.0,554198.12,79622.88,10706.8,51.76
VEH004,MP11GY5552,16 Tyre,Owned,Inactive,26,1020847.0,682562.7,338284.3,14849.6,45.97
VEH005,MH25BY6635,Container,Leased,Under Maintenance,33,1688826.0,900896.49,787929.51,21657.4,41.6
VEH006,KA08GT5803,10 Tyre,Market/Attached,Active,19,414826.0,470731.62,-55905.62,11567.1,40.7
VEH007,KA13BT4733,12 Tyre,Leased,Inactive,17,420414.0,414135.65,6278.35,8746.3,47.35
VEH008,MP07GY8428,14 Tyre,Leased,Active,22,831061.0,645884.78,185176.22,14038.9,46.01
VEH009,MH43ET3803,16 Tyre,Owned,Active,20,612310.0,444095.95,168214.05,8842.1,50.23
VEH010,MH41DY1916,Container,Owned,Active,23,948530.0,612537.38,335992.62,12012.3,50.99
VEH011,MH05DY4483,10 Tyre,Leased,Active,25,614600.0,677806.29,-63206.29,16876.6,40.16
VEH012,GJ10EX5040,12 Tyre,Leased,Active,23,566482.0,581058.16,-14576.16,11809.2,49.2
VEH013,GJ38GY4593,14 Tyre,Market/Attached,Active,20,735591.0,555098.11,180492.89,12359.0,44.91
VEH014,MP04BX3621,16 Tyre,Leased,Active,19,816119.0,507935.25,308183.75,11296.2,44.97
VEH015,GJ39HY1188,Container,Leased,Active,18,721319.0,432283.85,289035.15,9199.6,46.99
VEH016,MP18FT5808,10 Tyre,Owned,Active,26,483800.0,646328.68,-162528.68,12899.7,50.1
VEH017,TS17CT5889,12 Tyre,Market/Attached,Active,20,553731.0,494218.46,59512.54,11259.5,43.89
VEH018,MH49CT6310,14 Tyre,Owned,Active,24,793029.0,613596.71,179432.29,13908.7,44.12
VEH019,MP20DT4946,16 Tyre,Market/Attached,Inactive,28,1123514.0,725394.9,398119.1,16103.6,45.05
VEH020,GJ05CX8787,Container,Market/Attached,Active,24,852156.0,558852.76,293303.24,10927.3,51.14
